predictors,coefficients,coef_abs
"Vulnerable employment, male (% of male employment) (modeled ILO estimate)",-0.0,0.0
"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",-0.0,0.0
"Wage and salaried workers, female (% of female employment) (modeled ILO estimate)",0.0,0.0
"Wage and salaried workers, male (% of male employment) (modeled ILO estimate)",0.0,0.0
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",0.0,0.0
Total supply (petajoules),-0.0,0.0
Taxes on int trade & transactions,-0.0,0.0
"School enrollment, primary, male (% gross)",0.0,0.0
"Taxes on income, profits, & capital gains",-0.0,0.0
Scientific and technical journal articles,0.0,0.0
"Seats held by women in national parliament, as of February (%)",0.0,0.0
"Secondary education, duration (years)",0.0,0.0
"Secondary education, general pupils",0.0,0.0
"Secondary income receipts (BoP, current US$)",0.0,0.0
"Self-employed, male (% of male employment) (modeled ILO estimate)",-0.0,0.0
"Self-employed, total (% of total employment) (modeled ILO estimate)",-0.0,0.0
"Service exports (BoP, current US$)",0.0,0.0
"Service imports (BoP, current US$)",0.0,0.0
"Services, value added (% of GDP)",0.0,0.0
"Services, value added (annual % growth)",0.0,0.0
Sex ratio at birth (male to female births),0.0,0.0
Number of infant deaths,0.0,0.0
Share of seats in parliament (% held by women),-0.0,0.0
Statistical Capacity score (Overall average),-0.0,0.0
Surface area (sq. km),-0.0,0.0
"Tariff rate, applied, simple mean, manufactured products (%)",-0.0,0.0
"Tariff rate, applied, simple mean, primary products (%)",-0.0,0.0
"Tariff rate, applied, weighted mean, all products (%)",-0.0,0.0
"Tariff rate, applied, weighted mean, primary products (%)",-0.0,0.0
"Tariff rate, most favored nation, simple mean, manufactured products (%)",-0.0,0.0
"Tariff rate, most favored nation, simple mean, primary products (%)",-0.0,0.0
"Tariff rate, most favored nation, weighted mean, all products (%)",-0.0,0.0
"Tariff rate, most favored nation, weighted mean, manufactured products (%)",-0.0,0.0
"Tariff rate, most favored nation, weighted mean, primary products (%)",0.0,0.0
Tax revenue,-0.0,0.0
Taxes on goods & services,-0.0,0.0
Number of neonatal deaths,0.0,0.0
"Labour force participation rate (% ages 15 and older), male",0.0,0.0
Nitrous oxide emissions (thousand metric tons of CO2 equivalent),-0.0,0.0
Emissions (thousand metric tons of carbon dioxide),-0.0,0.0
"Employers, total (% of total employment) (modeled ILO estimate)",0.0,0.0
Employment in agriculture (% of total employment),-0.0,0.0
Employment in agriculture (% of total employment) (modeled ILO estimate),-0.0,0.0
"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",-0.0,0.0
Employment in industry (% of total employment) (modeled ILO estimate),0.0,0.0
"Employment in industry, female (% of female employment) (modeled ILO estimate)",-0.0,0.0
Employment in services (% of total employment) (modeled ILO estimate),0.0,0.0
"Employment in services, female (% of female employment) (modeled ILO estimate)",0.0,0.0
Employment to population ratio (% ages 15 and older),0.0,0.0
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",0.0,0.0
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",0.0,0.0
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",0.0,0.0
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",-0.0,0.0
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",-0.0,0.0
"Energy imports, net (% of energy use)",0.0,0.0
Export volume index (2000 = 100),-0.0,0.0
Exports of goods and services (% of GDP),-0.0,0.0
"Exports of goods and services (BoP, current US$)",0.0,0.0
Exports of goods and services (constant 2010 US$),0.0,0.0
Exports of goods and services (current US$),0.0,0.0
"Exports of goods, services and primary income (BoP, current US$)",0.0,0.0
External balance on goods and services (current US$),-0.0,0.0
Final consumption expenditure (annual % growth),-0.0,0.0
Final consumption expenditure (constant 2010 US$),-0.0,0.0
Final consumption expenditure (current US$),-0.0,0.0
"Employers, female (% of female employment) (modeled ILO estimate)",0.0,0.0
Electricity production from oil sources (% of total),-0.0,0.0
Food production (Index Base: 2004-2006 = 100),0.0,0.0
"Domestic private health expenditure per capita, PPP (current international $)",0.0,0.0
Age dependency ratio (% of working-age population),-0.0,0.0
Agricultural land (sq. km),-0.0,0.0
Agricultural production (Index Base: 2004-2006 = 100),0.0,0.0
"Air transport, passengers carried",-0.0,0.0
Arable land (% of land area),-0.0,0.0
Arable land (hectares per person),0.0,0.0
"Automated teller machines (ATMs) (per 100,000 adults)",0.0,0.0
Broad money (% of GDP),0.0,0.0
CO2 emissions (kt),-0.0,0.0
"Claims on central government, etc. (% GDP)",0.0,0.0
Combustible renewables and waste (% of total energy),0.0,0.0
"Commercial bank branches (per 100,000 adults)",0.0,0.0
Commercial service exports (current US$),0.0,0.0
Commercial service imports (current US$),0.0,0.0
"Communications, computer, etc. (% of service exports, BoP)",0.0,0.0
"Communications, computer, etc. (% of service imports, BoP)",-0.0,0.0
"Computer, communications and other services (% of commercial service exports)",0.0,0.0
"Computer, communications and other services (% of commercial service imports)",-0.0,0.0
Concentration index (exports) (value),-0.0,0.0
"Contributing family workers, female (% of female employment) (modeled ILO estimate)",-0.0,0.0
"Contributing family workers, total (% of total employment) (modeled ILO estimate)",-0.0,0.0
Corruption Perception Index,0.0,0.0
Current account balance (% of GDP),0.0,0.0
Domestic credit to private sector by banks (% of GDP),0.0,0.0
Domestic private health expenditure per capita (current US$),0.0,0.0
Fixed telephone subscriptions,-0.0,0.0
"Foreign direct investment, net (BoP, current US$)",0.0,0.0
"Net trade in goods and services (BoP, current US$)",-0.0,0.0
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",-0.0,0.0
"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",-0.0,0.0
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",0.0,0.0
"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",0.0,0.0
"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",0.0,0.0
"Labor force, female (% of total labor force)",-0.0,0.0
"Labor force, total",0.0,0.0
Labour force participation rate (% ages 15 and older),0.0,0.0
"Labour force participation rate (% ages 15 and older), female",0.0,0.0
Land area (sq. km),-0.0,0.0
Manufactures exports (% of merchandise exports),0.0,0.0
"Manufacturing, value added (% of GDP)",-0.0,0.0
"Manufacturing, value added (current US$)",0.0,0.0
Merchandise exports (current US$),0.0,0.0
Merchandise imports (current US$),0.0,0.0
Merchandise trade (% of GDP),0.0,0.0
Methane emissions (kt of CO2 equivalent),-0.0,0.0
Mobile cellular subscriptions,0.0,0.0
Mobile phone subscriptions (per 100 people),0.0,0.0
Net barter terms of trade index (2000 = 100),0.0,0.0
"Net errors and omissions (BoP, current US$)",-0.0,0.0
"Net financial account (BoP, current US$)",-0.0,0.0
Net primary income (Net income from abroad) (current US$),-0.0,0.0
"Net secondary income (BoP, current US$)",0.0,0.0
Net secondary income (Net current transfers from abroad) (current US$),0.0,0.0
"Net trade in goods (BoP, current US$)",-0.0,0.0
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",-0.0,0.0
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",-0.0,0.0
"Foreign direct investment, net inflows (BoP, current US$)",-0.0,0.0
"Internet users, total (% of population)",0.0,0.0
Forest area (% of total land area),-0.0,0.0
Fossil fuel energy consumption (% of total energy consumption),0.0,0.0
Fossil fuel energy consumption (% of total),0.0,0.0
Fuel exports (% of merchandise exports),-0.0,0.0
Fuel imports (% of merchandise imports),-0.0,0.0
GDP growth (annual %),0.0,0.0
General government final consumption expenditure (constant 2010 US$),-0.0,0.0
General government final consumption expenditure (current US$),-0.0,0.0
General government net lending/borrowing,0.0,0.0
General government primary net lending/borrowing,0.0,0.0
General government revenue,-0.0,0.0
General government total expenditure,-0.0,0.0
General taxes on goods & services,-0.0,0.0
"Goods exports (BoP, current US$)",0.0,0.0
"Goods imports (BoP, current US$)",0.0,0.0
"Immunization, HepB3 (% of one-year-old children)",0.0,0.0
Imports of goods and services (% of GDP),-0.0,0.0
"Imports of goods and services (BoP, current US$)",0.0,0.0
Imports of goods and services (constant 2010 US$),0.0,0.0
Imports of goods and services (current US$),0.0,0.0
"Imports of goods, services and primary income (BoP, current US$)",0.0,0.0
"Industry (including construction), value added (current US$)",0.0,0.0
"Infants lacking immunization, DPT (% of one-year-olds)",-0.0,0.0
"Inflation, GDP deflator: linked series (annual %)",-0.0,0.0
Insurance and financial services (% of commercial service imports),0.0,0.0
Youth unemployment rate (female to male ratio),-0.0,0.0
